Nome da Embarcacao;Numero de Inscricao no RGP;Numero de Inscricao na Marinha do Brasil;AB;Comprimento;Propulsao;HP;Capacidade do Porao;Volume do Tanque;Tripulacao;Numero de Covos;Status;UF;Numero da Frota;Codigo IN;Petrecho;indice
MANU MIGUEL;RS00005346;4430091030;35;16,6;Motor;267;;5000;4;;Deferida;RS;2.08.001;2.13;2. Rede de Emalhe;14350
MANU X;SC00196618;443M2011003301;;6,7;Motor;11;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14351
MANZUÁ II;BA00234681;3410140069;7,1;8,5;Motor;;;;5;;Deferida;BA;1.06.003;1.12;1. Linha;14352
MANZUÁ III;BA00234599;3410128654;3,6;8,6;Motor;;;;4;;Deferida;BA;1.06.003;1.12;1. Linha;14353
MANZUÁ IV;BA00234575;3410144188;7,9;9,5;Motor;;;;6;;Deferida;BA;1.06.003;1.12;1. Linha;14354
MANZUÁ V;BA00234557;3410144463;9,5;8,5;Motor;;;;6;;Deferida;BA;1.06.003;1.12;1. Linha;14355
MANZUÁ VI;BA00234455;3410145273;15,6;11,2;Motor;;;;7;;Deferida;BA;1.06.003;1.12;1. Linha;14356
MANZUÁ VII;BA00234467;3410146784;1,37;12,3;Motor;;;;7;;Deferida;BA;1.06.003;1.12;1. Linha;14357
MA PESCADOS III;MA00205428;1210108208;3;9,32;Motor;15;;250;3;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14358
MA PESCADOS IV;MA00205790;1210109824;3,9;8,5;Motor;90;;2000;3;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14359
MÁQUINA DO MAL;PR00117028;421M2010000805;;7,21;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;14360
MAQUINA TOTAL;SC00085558;4420196394;2;8,1;Motor;18;;;1;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;14361
MAR;SC00166867;443M2008001260;;4,5;Remo;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14362
mar/02;MA00200086;1210105641;11,2;10,8;Motor;73;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14363
mar/12;MA00198598;1210105764;12,8;10,8;Motor;73;;;3;;Deferida;MA;2.00.000;null;2. Rede de Emalhe;14364
mar/13;MA00198070;1210105772;12,8;10,8;Motor;60;;;6;;Deferida;MA;2.00.000;null;2. Rede de Emalhe;14365
mar/15;MA00248604;1210105799;;10,8;Motor;;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14366
mar/16;MA00202056;1210105837;12,8;10,8;Motor;73;;2000;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14367
mar/20;MA00231139;1210105870;1,28;10,8;Motor;60;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14368
mar/21;MA00224008;1210105900;12,85;10,8;Motor;60;;;;;Deferida;MA;1.06.003;1.12;1. Linha;14369
mar/24;MA00221854;1210105934;1,12;10,8;Motor;73;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14370
mar/25;MA00129237;1210105942;12,8;10,8;Motor;75;;1600;6;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14371
mar/26;MA00231147;1210106329;13;10,8;Motor;60;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14372
mar/27;MA00198260;1210106337;11;10,8;Motor;60;;1000;3;;Deferida;MA;2.00.000;null;2. Rede de Emalhe;14373
mar/28;MA00198006;1210106345;10,7;10,6;Motor;72;;1500;3;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14374
mar/31;MA00197990;1210106361;14;11;Motor;72;;1500;7;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14375
mar/32;MA00271137;1210106370;;11;Motor;;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14376
mar/33;MA00203544;1210106477;12;11;Motor;60;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14377
mar/34;MA00197806;1210106426;12;10,8;Motor;60;;2000;3;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14378
mar/35;MA00129241;1210106434;12,4;11;Motor;60;;1500;3;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14379
mar/36;MA00129217;1210106485;12;11;Motor;60;;1500;7;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14380
